单号,日期,客户,工件号,件型,材料牌号,数量,报价金额(元),老客户重复询价,报价耗时(小时)
HEN-260001,2025-09-02,先导智能,W1748,异形,黄铜H62,100,4384,否,26.5
HEN-260002,2025-11-01,新松机器人,W1963,标准,黄铜H62,500,74490,否,11.4
HEN-260003,2025-11-05,先导智能,W1756,标准,SUS304,20,2415,是,9.1
HEN-260004,2025-12-18,西门子医疗,W1284,标准,POM,100,16729,是,8.3
HEN-260005,2025-12-08,汇川技术,W1154,标准,POM,200,13921,是,11.0
HEN-260006,2025-10-09,联影医疗,W1288,标准,6061铝,20,1225,否,12.8
HEN-260007,2025-10-23,迈瑞医疗,W1879,标准,6061铝,100,11070,是,10.5
HEN-260008,2025-12-02,迈瑞医疗,W1195,异形,POM,500,66437,是,29.6
HEN-260009,2025-10-18,联影医疗,W1103,异形,6061铝,100,4392,否,21.3
HEN-260010,2025-11-12,大族激光,W1616,标准,黄铜H62,10,373,否,11.3
HEN-260011,2025-12-16,大族激光,W1319,标准,POM,10,455,否,19.7
HEN-260012,2025-10-17,联影医疗,W1023,标准,6061铝,10,1460,否,12.7
HEN-260013,2025-11-21,西门子医疗,W1884,标准,黄铜H62,50,2527,是,6.4
HEN-260014,2025-11-21,联影医疗,W1228,标准,SUS304,200,16079,是,16.8
HEN-260015,2025-11-24,西门子医疗,W1029,标准,6061铝,100,13585,是,13.2
HEN-260016,2025-12-26,迈瑞医疗,W1959,标准,SUS304,100,6895,是,19.4
HEN-260017,2025-10-16,大族激光,W1639,标准,SUS304,10,595,是,8.8
HEN-260018,2025-09-13,迈瑞医疗,W1801,标准,POM,500,40834,是,17.7
HEN-260019,2025-12-15,西门子医疗,W1411,标准,POM,20,1910,否,7.2
HEN-260020,2025-12-26,联影医疗,W1671,标准,6061铝,20,3376,是,14.3
HEN-260021,2026-03-01,汇川技术,W1014,标准,黄铜H62,200,36069,是,10.9
HEN-260022,2026-04-01,联影医疗,W1257,标准,黄铜H62,500,84281,否,18.2
HEN-260023,2026-07-27,西门子医疗,W1134,标准,SUS304,200,13046,是,9.6
HEN-260024,2026-03-18,迈瑞医疗,W1155,标准,SUS304,100,13356,否,13.2
HEN-260025,2026-03-16,迈瑞医疗,W1633,标准,POM,20,2490,是,8.1
HEN-260026,2026-02-18,联影医疗,W1058,异形,黄铜H62,10,965,是,33.3
HEN-260027,2026-02-15,西门子医疗,W1333,异形,6061铝,50,1415,否,30.9
HEN-260028,2026-04-23,西门子医疗,W1535,标准,SUS304,100,10912,是,13.1
HEN-260029,2026-08-11,新松机器人,W1074,标准,黄铜H62,20,2978,否,7.7
HEN-260030,2026-06-05,西门子医疗,W1259,异形,POM,10,729,是,22.9
HEN-260031,2026-03-22,汇川技术,W1852,标准,POM,20,2692,否,18.4
HEN-260032,2026-04-12,西门子医疗,W1326,标准,6061铝,500,46883,是,10.7
HEN-260033,2026-07-11,联影医疗,W1529,标准,SUS304,10,790,是,15.8
HEN-260034,2026-02-03,新松机器人,W1271,标准,黄铜H62,10,474,是,9.2
HEN-260035,2026-05-13,新松机器人,W1152,标准,45#钢,20,1321,是,11.9
HEN-260036,2026-02-09,先导智能,W1960,标准,SUS304,10,729,是,8.6
HEN-260037,2026-02-15,迈瑞医疗,W1011,标准,45#钢,50,2123,否,6.9
HEN-260038,2026-04-04,大族激光,W1992,标准,黄铜H62,100,16415,否,7.8
HEN-260039,2026-04-10,汇川技术,W1456,标准,SUS304,10,584,否,14.8
HEN-260040,2026-01-24,汇川技术,W1517,标准,SUS304,50,7953,是,6.5
HEN-260041,2026-07-22,西门子医疗,W1506,标准,黄铜H62,100,6493,是,15.2
HEN-260042,2026-03-13,鱼跃医疗,W1355,标准,黄铜H62,50,7010,否,10.8
HEN-260043,2026-02-22,迈瑞医疗,W1861,异形,6061铝,10,372,是,26.1
HEN-260044,2026-01-15,鱼跃医疗,W1189,标准,黄铜H62,500,88831,是,15.7
HEN-260045,2026-06-08,汇川技术,W1035,异形,SUS304,100,3771,否,27.9
HEN-260046,2026-05-17,新松机器人,W1671,标准,6061铝,50,2735,是,7.2
HEN-260047,2026-01-13,西门子医疗,W1023,异形,6061铝,200,25597,是,39.6
HEN-260048,2026-03-22,新松机器人,W1914,标准,SUS304,500,32019,是,13.4
